Date,brazil_drawdown_pressure_weighted,brazil_vol_pressure_weighted,external_brazil_pressure_weighted,global_equity_pressure_weighted,fx_pressure_weighted,vix_pressure_weighted,bsti_raw_score,bsti_0_100,bsti_regime,stress_breadth,active_pressure_channels,dominant_pressure_channel,dominant_pressure_value,brazil_drawdown_pressure,brazil_vol_pressure,external_brazil_pressure,global_equity_pressure,fx_pressure,vix_pressure,bsti_state,previous_bsti_state,next_bsti_state,state_changed,warning_threshold,stress_threshold
2014-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,,normal,True,15.0,33.0
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calm,0.0,0,brazil_drawdown_pressure,0.0,,,,,,,normal,normal,normal,False,15.0,33.0
2014-01-31,0.24448366667624388,0.0,0.02381778671512178,0.08991391471668542,0.0,0.085939946782351,0.4441553148904021,14.805177163013402,calm,0.16666666666666666,1,brazil_drawdown_pressure,1.2224183333812193,1.2224183333812193,,0.11908893357560889,0.5994260981112361,0.0,0.5729329785490067,normal,normal,stress,False,15.0,33.0
2014-02-03,0.41599785238300796,0.0,0.12088968421407605,0.34595579121722,0.09862233792729906,0.23779967532114718,1.21926534106275,40.642178035425005,stress,0.5,3,global_equity_pressure,2.306371941448133,2.0799892619150397,,0.6044484210703802,2.306371941448133,0.6574822528486605,1.585331168807648,stress,normal,normal,True,15.0,33.0
2014-02-04,0.2827229662195249,0.0,0.0,0.0,0.10737619511055992,0.0,0.3900991613300848,13.003305377669495,calm,0.16666666666666666,1,brazil_drawdown_pressure,1.4136148310976246,1.4136148310976246,,0.0,0.0,0.7158413007370661,0.0,normal,stress,normal,True,15.0,33.0
2014-02-05,0.3005713841043813,0.0,0.0,0.0,0.0,0.04373130233803891,0.3443026864424202,11.47675621474734,calm,0.16666666666666666,1,brazil_drawdown_pressure,1.5028569205219062,1.5028569205219062,,0.0,0.0,0.0,0.29154201558692605,normal,normal,normal,False,15.0,33.0
2014-02-06,0.13030024632779963,0.0,0.0,0.0,0.0,0.0,0.13030024632779963,4.343341544259988,calm,0.0,0,brazil_drawdown_pressure,0.6515012316389981,0.6515012316389981,,0.0,0.0,0.0,0.0,normal,normal,normal,False,15.0,33.0
2014-02-07,0.07788115244340957,0.0,0.07807545167839519,0.0,0.0,0.0,0.15595660412180476,5.198553470726825,calm,0.0,0,external_brazil_pressure,0.39037725839197596,0.3894057622170478,,0.39037725839197596,0.0,0.0,0.0,normal,normal,warning,False,15.0,33.0
2014-02-10,0.14638754348976904,0.0,0.30548846321171136,0.0,0.0,0.0,0.4518760067014804,15.062533556716016,fragile,0.16666666666666666,1,external_brazil_pressure,1.5274423160585566,0.7319377174488452,,1.5274423160585566,0.0,0.0,0.0,warning,normal,normal,True,15.0,33.0
2014-02-11,0.037065028345742934,0.0,0.0,0.0,0.25869167309357816,0.0,0.2957567014393211,9.858556714644036,calm,0.16666666666666666,1,fx_pressure,1.7246111539571878,0.18532514172871467,,0.0,0.0,1.7246111539571878,0.0,normal,warning,normal,True,15.0,33.0
2014-02-12,0.06999260541317907,0.0,0.30469151800945876,0.0,0.0,0.0,0.37468412342263785,12.489470780754596,calm,0.16666666666666666,1,external_brazil_pressure,1.5234575900472938,0.3499630270658953,,1.5234575900472938,0.0,0.0,0.0,normal,normal,normal,False,15.0,33.0
2014-02-13,0.09956643751363731,0.20299787206721895,0.0,0.0,0.12117597975301711,0.0,0.4237402893338733,14.124676311129111,calm,0.3333333333333333,2,brazil_vol_pressure,1.353319147114793,0.4978321875681865,1.353319147114793,0.0,0.0,0.8078398650201141,0.0,normal,normal,normal,False,15.0,33.0
2014-02-14,0.06315540956725743,0.19638675567940958,0.009382104880763404,0.0,0.0,0.0,0.2689242701274304,8.964142337581015,calm,0.16666666666666666,1,brazil_vol_pressure,1.3092450378627305,0.31577704783628713,1.3092450378627305,0.04691052440381702,0.0,0.0,0.0,normal,normal,normal,False,15.0,33.0
2014-02-17,0.16146337203701044,0.1956993798275179,0.0,0.0038963959315972754,0.0,0.0,0.36105914779612563,12.03530492653752,calm,0.3333333333333333,2,brazil_vol_pressure,1.3046625321834526,0.8073168601850522,1.3046625321834526,0.0,0.025975972877315172,0.0,0.0,normal,normal,stress,False,15.0,33.0
2014-02-18,0.3079377393848988,0.23859611551122217,0.46700548182289997,0.0,0.0,0.034774658514046666,1.0483139952330676,34.943799841102255,stress,0.5,3,external_brazil_pressure,2.3350274091145,1.539688696924494,1.5906407700748146,2.3350274091145,0.0,0.0,0.2318310567603111,stress,normal,warning,True,15.0,33.0
2014-02-19,0.24404953757882747,0.23602029885110543,0.0,0.1188870207794229,0.031071114225738238,0.19534078383846318,0.8253687552735572,27.51229184245191,fragile,0.6666666666666666,4,brazil_vol_pressure,1.5734686590073697,1.2202476878941373,1.5734686590073697,0.0,0.7925801385294861,0.20714076150492158,1.3022718922564211,warning,stress,normal,True,15.0,33.0
2014-02-20,0.17750984243747886,0.1773224474467672,0.0,0.0,0.017926952947313297,0.0,0.37275924283155937,12.425308094385311,calm,0.3333333333333333,2,brazil_vol_pressure,1.1821496496451147,0.8875492121873942,1.1821496496451147,0.0,0.0,0.11951301964875531,0.0,normal,warning,normal,True,15.0,33.0
2014-02-21,0.15489232040722012,0.10506768612345772,0.0,0.024057477978696035,0.0,0.0,0.2840174845093739,9.467249483645796,calm,0.16666666666666666,1,brazil_drawdown_pressure,0.7744616020361006,0.7744616020361006,0.7004512408230515,0.0,0.16038318652464023,0.0,0.0,normal,normal,normal,False,15.0,33.0
2014-02-24,0.1898046843523358,0.07531416500283031,0.07207284763990641,0.0,0.0,0.0,0.3371916969950725,11.239723233169084,calm,0.16666666666666666,1,brazil_drawdown_pressure,0.949023421761679,0.949023421761679,0.502094433352202,0.36036423819953206,0.0,0.0,0.0,normal,normal,warning,False,15.0,33.0
2014-02-25,0.25562677469723427,0.09031209247433535,0.11353999659586012,0.012746054999179931,0.0,0.0,0.47222491876660966,15.740830625553656,fragile,0.16666666666666666,1,brazil_drawdown_pressure,1.2781338734861714,1.2781338734861714,0.602080616495569,0.5676999829793006,0.08497369999453287,0.0,0.0,warning,normal,warning,True,15.0,33.0
2014-02-26,0.2719762113670219,0.08792990372549957,0.0,0.0046433338408572965,0.027312952672801375,0.08596080638187753,0.47782320798805766,15.927440266268588,fragile,0.16666666666666666,1,brazil_drawdown_pressure,1.3598810568351094,1.3598810568351094,0.5861993581699971,0.0,0.030955558939048645,0.18208635115200916,0.5730720425458502,warning,warning,normal,False,15.0,33.0
